序号,数据点名称,X(数学坐标),Y(数学坐标),z
0,36-12,38432530.737,3738049.289,-19.464
1,36-13,38432670.387,3738432.009,-109.968
2,36-15,38432961.137,3739390.729,-249.25
3,36-18,38433413.450,3740886.340,-461.52
4,36-20,38432728.510,3738658.130,-156.142
5,36-21,38432847.630,3738981.400,-219.41
6,36-25,38433085.450,3740157.770,-334.25
7,37-12,38432534.310,3739339.359,-269.3
8,37-13,38432687.680,3739625.180,-273.824
9,37-14,38432548.200,3740092.690,-328.33
10,37-20,38432097.738,3738328.293,-66.668
11,37-21,38432172.567,3738418.048,-63.336
12,37-22,38432227.357,3738592.209,-117.546
13,37-23,38432329.597,3738738.984,-158.36
14,38-10,38431569.007,3738245.409,-10.696
15,38-11,38431619.750,3738389.900,-35.34
16,38-15,38431703.504,3738726.162,-96.673
17,38-18,38431863.227,3739212.609,-203.576
18,38-22,38432406.715,3740756.275,-428.64
19,38-23,38431933.009,3739382.278,-247.807
20,38-27,38431758.794,3738967.820,-142.312
21,38-28,38431694.715,3738554.717,-67.797
22,38'-15,38431435.136,3738729.436,-48.817
23,39-11,38431156.996,3738627.286,-32.74
24,39-12,38431238.567,3738885.209,-57.008
25,39-13,38431396.232,3739382.452,-207.302
26,39-14,38431540.090,3739834.990,-293.99
27,39-18,38431767.244,3740487.051,-410.184
28,40-14,38430759.987,3739036.929,-60.531
29,40-24,38431498.710,3741317.940,-542.92
30,40-29,38430907.540,3739515.830,-176.62
31,40-30,38430829.900,3739274.650,-104.15
32,40-31,38430720.880,3738944.670,-48.8
33,42-13,38430293.687,3739276.169,-94.27
34,42-14,38430590.970,3739665.800,-174.676
35,42-17,38430238.804,3739169.160,-72.939
36,42'-14,38430015.989,3739598.874,-117.408
37,42'-15,38430133.381,3739727.273,-156.58
38,43-8,38429562.900,3739547.900,-69.79
39,43-10,38429670.667,3739710.558,-116.67
40,43-11,38429739.337,3739784.829,-139.78
41,43-13,38429981.137,3740102.679,-206.092
42,39-21,38431294.160,3739137.010,-122.81
43,43-23,38431283.620105,3739102.2927204734,-123.12458433260457
