0 0 3547.8585638844984,0 1 3460.705009103216,0 2 3422.0940343284315,0 3 3547.598194653397,0 4 3852.6624578396613,0 5 4148.359127253016,0 6 4268.080117965102,0 7 4202.232895333032,0 8 4019.4787928563646,0 9 3792.753864447088,0 10 3571.591429167502,0 11 3379.785448049228,0 12 3223.6144578313256,0 13 3100.8043666339395,0 14 3006.2200557663446,0 15 2934.478698298348,0 16 2880.838706874669,0 17 2841.3731961972967,0 18 2812.913040236598,0 19 2792.9368295700447,0 20 2779.4594012737384,0 21 2770.931284537614,0 22 2766.1516169312285,0 23 2764.1947968879986,0 24 2764.3502187153586,0 25 2766.0738128911707,0 26 2768.9497537006705,0 27 2772.6605996560925,0 28 2776.964229552832,0 29 2781.67614031005,0 30 2786.655912306463,0 31 2791.7968809373488,0 32 2797.018258569196,0 33 2802.259121962612,0 34 2807.4738172220377,0 35 2812.628441512301,0 36 2817.6981433137053,0 37 2822.6650458810814,0 38 2827.516646190602,0 39 2832.2445775772235,0 40 2836.843651313796,0 41 2841.3111127460884,0 42 2845.6460629413164,0 43 2849.84900838749,0 44 2853.9215100394913,0 45 2857.865909649748,0 46 2861.6851163728174,0 47 2865.3824404868583,0 48 2868.961464024232,0 49 2872.425940367934,0 50 2875.7797166149157,0 51 2879.0266738554374,0 52 2882.1706815626953,0 53 2885.2155630997763,0 54 2888.1650699849965,0 55 2891.0228630526835,0 56 2893.7924990355814,0 57 2896.4774214011204,0 58 2899.0809545151574,0 59 2901.6063003975696,0 60 2904.056537485219,0 61 2906.434620937758,0 62 2908.7433841171446,0 63 2910.9855409477523,0 64 2913.1636889245474,0 65 2915.2803125852506,0 66 2917.3377873011023,0 67 2919.3383832718123,0 68 2921.2842696350936,0 69 2923.1775186209916,0 70 2925.020109697138,0 71 2926.8139336637514,0 72 2928.560796667364,0 73 2930.2624241103445,0 74 2931.9204644397687,0 75 2933.536492804261,0 76 2935.1120145715286,0 77 2936.6484687024486,0 78 2938.1472309800906,0 79 2939.609617093964,0 80 2941.036885581285,0 81 2942.4302406281327,0 82 2943.7908347342536,0 83 2945.1197712458056,0 84 2946.418106760799,0 85 2947.6868534122186,0 86 2948.926981033991,0 87 2950.1394192149996,0 88 2951.3250592463505,0 89 2952.4847559670234,0 90 2953.619329512941,0 91 2954.72956697434,0 92 2955.8162239661883,0 93 2956.880026116204,0 94 2957.921670474853,0 95 2958.941826851515,0 96 2959.9411390808127,0 97 2960.9202262229137,0 98 2961.8796837014147,0 99 2962.8200843822524,
1 0 3551.230817933599,1 1 3422.0940343284315,1 2 3333,1 3 3518.02206975053,1 4 4055.1020408163267,1 5 4520.486486486487,1 6 4628.02754491018,1 7 4445.027321432542,1 8 4125.636363636364,1 9 3790.698309697001,1 10 3502.466005125129,1 11 3277.142857142857,1 12 3108.6329811870055,1 13 2985.042638056587,1 14 2895.451612903226,1 15 2831.358677081569,1 16 2786.380199621344,1 17 2755.7077363896847,1 18 2735.6935329769194,1 19 2723.56734836759,1 20 2717.233830845771,1 21 2715.1177127133797,1 22 2716.0418008307342,1 23 2719.130769038764,1 24 2723.7362745678633,1 25 2729.379561637035,1 26 2735.708044099632,1 27 2742.462780381358,1 28 2749.4542640019754,1 29 2756.5444699021036,1 30 2763.633561092811,1 31 2770.6500463826587,1 32 2777.5434858093167,1 33 2784.2790750194636,1 34 2790.83361611408,1 35 2797.192513181487,1 36 2803.3475268843636,1 37 2809.2950928778278,1 38 2815.035060305679,1 39 2820.569744244965,1 40 2825.903213504764,1 41 2831.040755381816,1 42 2835.9884738307983,1 43 2840.752988468793,1 44 2845.3412099504444,1 45 2849.760173282961,1 46 2854.016915150232,1 47 2858.118384684886,1 48 2862.0713796593805,1 49 2865.8825019770275,1 50 2869.5581277892247,1 51 2873.10438866263,1 52 2876.527161055853,1 53 2879.832062003732,1 54 2883.0244493962555,1 55 2886.109425614573,1 56 2889.091843575419,1 57 2891.9763144578465,1 58 2894.767216558069,1 59 2897.4687048509827,1 60 2900.0847209397266,1 61 2902.6190031540364,1 62 2905.07509661971,1 63 2907.4563631689352,1 64 2909.7659909979625,1 65 2912.0070040068217,1 66 2914.1822707774268,1 67 2916.294513163004,1 68 2918.3463144743437,1 69 2920.340127257806,1 70 2922.278280667115,1 71 2924.1629874360965,1 72 2925.99635046328,1 73 2927.780369021821,1 74 2929.516944609968,1 75 2931.2078864583173,1 76 2932.854916710669,1 77 2934.4596752954526,1 78 2936.0237245045605,1 79 2937.548553296119,1 80 2939.035581337236,1 81 2940.4861628021677,1 82 2941.9015899407086,1 83 2943.283096430924,1 84 2944.6318605295933,1 85 2945.9490080330415,1 86 2947.235615060326,1 87 2948.4927106700143,1 88 2949.721279321153,1 89 2950.922263188335,1 90 2952.096564340196,1 91 2953.245046790033,1 92 2954.3685384267064,1 93 2955.467832833447,1 94 2956.5436910016897,1 95 2957.596842946586,1 96 2958.627989230413,1 97 2959.637802399658,1 98 2960.6269283412353,1 99 2961.5959875628387,
2 0 3640.7980118090536,2 1 3547.598194653397,2 2 3518.02206975053,2 3 3874.430828147438,2 4 4697.121562375448,2 5 5242.271903323263,2 6 5179.699934143567,2 7 4734.286995515695,2 8 4183.66846836431,2 9 3705.149155033064,2 10 3352.7659574468084,2 11 3110.3803500354393,2 12 2946.1383147138354,2 13 2834.6461332440576,2 14 2759.3296807612096,2 15 2709.555440986927,2 16 2678.116855778611,2 17 2659.8573386908956,2 18 2650.991376045393,2 19 2648.7322955856334,2 20 2651.0440473760877,2 21 2656.453681993023,2 22 2663.90534855853,2 23 2672.648104649754,2 24 2682.1516162050807,2 25 2692.044038501553,2 26 2702.0668809094086,2 27 2712.042506844963,2 28 2721.8508518459867,2 29 2731.4127846089964,2 30 2740.6782216245233,2 31 2749.6176320122554,2 32 2758.215958186475,2 33 2766.4682594805963,2 34 2774.3765869285057,2 35 2781.947740003958,2 36 2789.191656935169,2 37 2796.1202614450476,2 38 2802.7466391603466,2 39 2809.0844526687392,2 40 2815.147529625914,2 41 2820.9495764678322,2 42 2826.503983296789,2 43 2831.8236948767913,2 44 2836.921129443341,2 45 2841.808131944418,2 46 2846.4959519065815,2 47 2850.9952387344633,2 48 2855.3160491687577,2 49 2859.467863037128,2 50 2863.459604471304,2 51 2867.2996665307464,2 52 2870.995937740618,2 53 2874.5558294716902,2 54 2877.9863034006066,2 55 2881.2938985187875,2 56 2884.4847573279594,2 57 2887.564650985167,2 58 2890.5390032516093,2 59 2893.412913166192,2 60 2896.1911764126894,2 61 2898.878305383462,2 62 2901.4785479665225,2 63 2903.995905098836,2 64 2906.434147139229,2 65 2908.796829120587,2 66 2911.0873049442885,2 67 2913.3087405808988,2 68 2915.46412634068,2 69 2917.5562882758945,2 70 2919.5878987746005,2 71 2921.561486402863,2 72 2923.479445049301,2 73 2925.3440424226537,2 74 2927.1574279499346,2 75 2928.921640119508,2 76 2930.638613310381,2 77 2932.310184146065,2 78 2933.9380974085298,2 79 2935.524011545151,2 80 2937.069503799061,2 81 2938.576074990969,2 82 2940.045153978406,2 83 2941.478101816268,2 84 2942.876215640769,2 85 2944.2407322970694,2 86 2945.57283172941,2 87 2946.873640150971,2 88 2948.144233009438,2 89 2949.3856377629527,2 90 2950.5988364800187,2 91 2951.7847682758643,2 92 2952.9443315967987,2 93 2954.0783863632423,2 94 2955.187755981241,2 95 2956.273229231579,2 96 2957.3355620448924,2 97 2958.375479170537,2 98 2959.3936757464203,2 99 2960.390818776434,
3 0 3809.230793157075,3 1 3852.6624578396613,3 2 4055.1020408163267,3 3 4697.121562375448,3 4 5691.784688995215,3 5 6181.267479153304,3 6 5812.607929515418,3 7 4942.470683380509,3 8 4070.6547368421056,3 9 3454.857142857143,3 10 3083.520940484938,3 11 2865.655240985923,3 12 2733.268727705114,3 13 2650.5540956298555,3 14 2599.8373688776724,3 15 2571.2307225718405,3 16 2558.1422356563744,3 17 2555.765327700193,3 18 2560.562468634645,3 19 2569.984451265765,3 20 2582.2401091206866,3 21 2596.0984134515215,3 22 2610.7291941391104,3 23 2625.5826997676863,3 24 2640.3023682885546,3 25 2654.6633497432294,3 26 2668.529884896579,3 27 2681.826035240113,3 28 2694.5156867083097,3 29 2706.588927692129,3 30 2718.052786250209,3 31 2728.924943109127,3 32 2739.2294762759707,3 33 2748.9939940981444,3 34 2758.2477184298377,3 35 2767.0202185817734,3 36 2775.340591110844,3 37 2783.236944713803,3 38 2790.7360933062646,3 39 2797.8633903806112,3 40 2804.6426583734915,3 41 2811.096181018867,3 42 2817.2447365313524,3 43 2823.1076563233346,3 44 2828.7028987386734,3 45 2834.047130622459,3 46 2839.1558118781236,3 47 2844.0432797925073,3 48 2848.722831046321,3 49 2853.206800117919,3 50 2857.5066333349937,3 51 2861.632958203515,3 52 2865.5956478968546,3 53 2869.403880956169,3 54 2873.0661963614803,3 55 2876.59054419922,3 56 2879.984332189354,3 57 2883.2544683524607,3 58 2886.407400100998,3 59 2889.4491500338104,3 60 2892.385348702063,3 61 2895.2212646005105,3 62 2897.9618316218275,3 63 2900.6116741947408,3 64 2903.175130309747,3 65 2905.6562726195602,3 66 2908.0589277856275,3 67 2910.386694227091,3 68 2912.642958414668,3 69 2914.8309098390037,3 70 2916.9535547712326,3 71 2919.0137289225954,3 72 2921.0141091000814,3 73 2922.9572239460417,3 74 2924.8454638415346,3 75 2926.6810900457613,3 76 2928.466243137223,3 77 2930.2029508161504,3 78 2931.893135122279,3 79 2933.53861911707,3 80 2935.1411330749734,3 81 2936.702320224318,3 82 2938.223742074693,3 83 2939.706883364425,3 84 2941.153156658723,3 85 2942.56390662638,3 86 2943.940414020445,3 87 2945.2838993860883,3 88 2946.5955265168377,3 89 2947.8764056785776,3 90 2949.127596619027,3 91 2950.3501113789057,3 92 2951.54491691968,3 93 2952.7129375814734,3 94 2953.8550573836696,3 95 2954.9721221796704,3 96 2956.0649416763467,3 97 2957.134291327889,3 98 2958.1809141129547,3 99 2959.2055222033455,
4 0 3974.6585872521887,4 1 4148.359127253016,4 2 4520.486486486487,4 3 5242.271903323263,4 4 6181.267479153304,4 5 6666,4 6 6084.971693074594,4 7 4735.8955732122595,4 8 3573.333333333333,4 9 2952.7031578947367,4 10 2677.920108679943,4 11 2549.818181818182,4 12 2480.14759937313,4 13 2440.876478078952,4 14 2422.9541284403667,4 15 2420.9743102678826,4 16 2430.164777738597,4 17 2446.5073746312682,4 18 2466.971584587664,4 19 2489.455096334378,4 20 2512.584000771977,4 21 2535.503080878312,4 22 2557.7065301790735,4 23 2578.9159347553323,4 24 2598.9972321007413,4 25 2617.905944034118,4 26 2635.651714722192,4 27 2652.275626409513,4 28 2667.835835087217,4 29 2682.3985765124557,4 30 2696.0326216252324,4 31 2708.8059396243098,4 32 2720.7837683722405,4 33 2732.0275766371524,4 34 2742.5945860872916,4 35 2752.5376391192326,4 36 2761.905274878366,4 37 2770.741925187279,4 38 2779.088174105549,4 39 2786.981045632232,4 40 2794.4542975663953,4 41 2801.5387082998473,4 42 2808.2623489742496,4 43 2814.6508370621664,4 44 2820.7275697279492,4 45 2826.5139367485376,4 46 2832.029513628686,4 47 2837.2922360292696,4 48 2842.3185568728895,4 49 2847.123587585418,4 50 2851.721224932641,4 51 2856.1242648557604,4 52 2860.3445046228358,4 53 2864.392834511195,4 54 2868.2793201285813,4 55 2872.0132763746105,4 56 2875.603333942586,4 57 2879.0574991670665,4 58 2882.383207935588,4 59 2885.587374303983,4 60 2888.676434383644,4 61 2891.656386005394,4 62 2894.5328246079093,4 63 2897.310975748195,4 64 2899.995724586938,4 65 2902.591642661974,4 66 2905.1030122281386,4 67 2907.533848410835,4 68 2909.8879193933653,4 69 2912.1687648338843,4 70 2914.37971268657,4 71 2916.5238945826973,4 72 2918.6042599106554,4 73 2920.6235887191624,4 74 2922.5845035548787,4 75 2924.489480333995,4 76 2926.340858337114,4 77 2928.1408494075968,4 78 2929.891546425405,4 79 2931.5949311212767,4 80 2933.252881289595,4 81 2934.867177452604,4 82 2936.439509023473,4 83 2937.9714800111315,4 84 2939.4646143057266,4 85 2940.920360579851,4 86 2942.3400968374117,4 87 2943.725134639075,4 88 2945.076723030543,4 89 2946.396052197547,4 90 2947.684256869306,4 91 2948.94241949023,4 92 2950.171573177949,4 93 2951.37270448413,4 94 2952.5467559731433,4 95 2953.694628632354,4 96 2954.817184126622,4 97 2955.915246908569,4 98 2956.989606195186,4 99 2958.041017820492,
5 0 4054.7981294720835,5 1 4268.080117965102,5 2 4628.02754491018,5 3 5179.699934143567,5 4 5812.607929515418,5 5 6084.971693074594,5 6 5303.469500924214,5 7 3663.478260869565,5 8 2549.620885357548,5 9 2220.12535382127,5 10 2191.565022421525,5 11 2205.6949514260946,5 12 2212.144086995922,5 13 2220.0747000169004,5 14 2237.8132923076923,5 15 2265.3656401448693,5 16 2299.3106578736224,5 17 2336.185990331363,5 18 2373.5127437684137,5 19 2409.7816595401814,5 20 2444.1828106635235,5 21 2476.351272845527,5 22 2506.185736755541,5 23 2533.7321151902706,5 24 2559.1127126963975,5 25 2582.484554123722,5 26 2604.015588947348,5 27 2623.871599858245,5 28 2642.209419503941,5 29 2659.173808301332,5 30 2674.8964148148198,5 31 2689.4958837959243,5 32 2703.078562209373,5 33 2715.739483532315,5 34 2727.563447648967,5 35 2738.6260951043637,5 36 2748.9949226240024,5 37 2758.730214982003,5 38 2767.885884500825,5 39 2776.510218498207,5 40 2784.646539761904,5 41 2792.333787383086,5 42 2799.6070260746246,5 43 2806.4978920802178,5 44 2813.0349833276287,5 45 2819.244200821524,5 46 2825.1490475407895,5 47 2830.7708903761622,5 48 2836.129189956289,5 49 2841.241702582738,5 50 2846.1246579336807,5 51 2850.7929157019207,5 52 2855.2601039016313,5 53 2859.538741204261,5 54 2863.640345341052,5 55 2867.575529331647,5 56 2871.3540870592165,5 57 2874.985069507349,5 58 2878.4768527977417,5 59 2881.8371990164683,5 60 2885.0733106866555,5 61 2888.191879633679,5 62 2891.1991308928336,5 63 2894.1008622266013,5 64 2896.902479747174,5 65 2899.6090300781416,5 66 2902.225229435833,5 67 2904.7554899645093,5 68 2907.203943619444,5 69 2909.5744638570063,5 70 2911.8706853604417,5 71 2914.0960220035736,5 72 2916.253683231458,5 73 2918.3466890167847,5 74 2920.377883533087,5 75 2922.349947670212,5 76 2924.2654105038487,5 77 2926.1266598188454,5 78 2927.9359517754174,5 79 2929.69541979799,5 80 2931.407082758099,5 81 2933.072852515443,5 82 2934.6945408746674,5 83 2936.273866009665,5 84 2937.812458402053,5 85 2939.3118663358755,5 86 2940.7735609865326,5 87 2942.1989411382547,5 88 2943.589337561218,5 89 2944.946017076431,5 90 2946.2701863339494,5 91 2947.562995327624,5 92 2948.825540667435,5 93 2950.058868628632,5 94 2951.2639779951437,5 95 2952.4418227131987,5 96 2953.593314369725,5 97 2954.719324508795,5 98 2955.8206867983067,5 99 2956.8981990580137,
6 0 4027.107993915836,6 1 4202.232895333032,6 2 4445.027321432542,6 3 4734.286995515695,6 4 4942.470683380509,6 5 4735.8955732122595,6 6 3663.478260869565,6 7 2125.837338262477,6 8 1425.2757699839774,6 9 1530.4317180616742,6 10 1769.8492486379691,6 11 1900.9844311377244,6 12 1958.8601622020149,6 13 2003.161192179841,6 14 2054.3937880914727,6 15 2112.148075854717,6 16 2171.7802687554868,6 17 2229.719374335845,6 18 2284.0387596029345,6 19 2333.96211100968,6 20 2379.3671311997336,6 21 2420.4605791987283,6 22 2457.5925926970776,6 23 2491.1578865568094,6 24 2521.5462999095184,6 25 2549.1201204259382,6 26 2574.205473750698,6 27 2597.090833566741,6 28 2618.028927523269,6 29 2637.240075614367,6 30 2654.915951435343,6 31 2671.223269336961,6 32 2686.3071731401046,6 33 2700.2942445049785,6 34 2713.2951210248593,6 35 2725.4067482171154,6 36 2736.7143036039265,6 37 2747.292834720118,6 38 2757.2086514305347,6 39 2766.520509219722,6 40 2775.2806156251154,6 41 2783.5354874766217,6 42 2791.3266824349057,6 43 2798.691424627315,6 44 2805.6631409927622,6 45 2812.2719222388832,6 46 2818.5449200371986,6 47 2824.506690178044,6 48 2830.1794898213416,6 49 2835.583535661096,6 50 2840.737228726547,6 51 2845.657350633163,6 52 2850.3592353401864,6 53 2854.8569198416944,6 54 2859.1632766928706,6 55 2863.2901308344926,6 56 2867.248362811206,6 57 2871.04800017107,6 58 2874.698298574633,6 59 2878.2078139234277,6 60 2881.584466633253,6 61 2884.8355990213827,6 62 2887.9680266441965,6 63 2890.9880843089486,6 64 2893.901667387157,6 65 2896.714268974892,6 66 2899.4310133747776,6 67 2902.056686314081,6 68 2904.59576226121,6 69 2907.052429158083,6 70 2909.4306108470682,6 71 2911.7339874376225,6 72 2913.9660138286436,6 73 2916.129936577209,6 74 2918.2288092823496,6 75 2920.2655066332495,6 76 2922.2427372544284,6 77 2924.1630554657386,6 78 2926.0288720620824,6 79 2927.8424642063587,6 80 2929.6059845191917,6 81 2931.3214694401104,6 82 2932.990846927109,6 83 2934.6159435545796,6 84 2936.1984910635106,6 85 2937.740132412442,6 86 2939.242427372804,6 87 2940.7068577080263,6 88 2942.134831971944,6 89 2943.5276899586293,6 90 2944.88670683273,6 91 2946.2130969666664,6 92 2947.50801750858,6 93 2948.772571702755,6 94 2950.0078119822456,6 95 2951.2147428516732,6 96 2952.394323576572,6 97 2953.547470694201,6 98 2954.675060359474,6 99 2955.7779305384483,
7 0 3916.0791340731303,7 1 4019.4787928563646,7 2 4125.636363636364,7 3 4183.66846836431,7 4 4070.6547368421056,7 5 3573.333333333333,7 6 2549.620885357548,7 7 1425.2757699839774,7 8 999,7 9 1239.3611289288006,7 10 1544.2235649546828,7 11 1673.5675675675675,7 12 1732.1524596828838,7 13 1799.4184075818982,7 14 1882.2222222222222,7 15 1969.9331560509863,7 16 2054.61169762611,7 17 2132.5706642888995,7 18 2202.6996919422268,7 19 2265.1325412881656,7 20 2320.5148936170212,7 21 2369.648209151306,7 22 2413.3296339950602,7 23 2452.2874009219645,7 24 2487.1608549352104,7 25 2518.500319153975,7 26 2546.774977587409,7 27 2572.383267350078,7 28 2595.663323254936,7 29 2616.902476241467,7 30 2636.345490679877,7 31 2654.2015326400897,7 32 2670.6499867295483,7 33 2685.8452788366726,7 34 2699.9208630486883,7 35 2712.9925160065154,7 36 2725.1610619066087,7 37 2736.514631217274,7 38 2747.130537988492,7 39 2757.076845045258,7 40 2766.4136733706573,7 41 2775.1943013477953,7 42 2783.4660908977025,7 43 2791.271270582011,7 44 2798.647600127637,7 45 2805.6289363147093,7 46 2812.245716532245,7 47 2818.5253733730897,7 48 2824.492691269319,7 49 2830.1701142487927,7 50 2835.578012333261,7 51 2840.734912826934,7 52 2845.6577017051177,7 53 2850.361799460258,7 54 2854.8613150616857,7 55 2859.1691811067185,7 56 2863.297272761853,7 57 2867.256512694904,7 58 2871.0569638675765,7 59 2874.7079117809863,7 60 2878.2179375345645,7 61 2881.594982863637,7 62 2884.846408156507,7 63 2887.9790443128095,7 64 2890.999239187026,7 65 2893.9128992608926,7 66 2896.7255271030203,7 67 2899.442255101141,7 68 2902.067875889921,7 69 2904.6068698436384,7 70 2907.063429956917,7 71 2909.4414843968557,7 72 2911.744716975554,7 73 2913.9765857621783,7 74 2916.140340027881,7 75 2918.2390356943774,7 76 2920.27554943736,7 77 2922.2525915788156,7 78 2924.1727178873207,7 79 2926.038340392261,7 80 2927.8517373063733,7 81 2929.6150621408774,7 82 2931.33035208851,7 83 2932.999535741892,7 84 2934.6244402076704,7 85 2936.206797670713,7 86 2937.7482514571416,7 87 2939.250361640118,7 88 2940.7146102279985,7 89 2942.142405970561,7 90 2943.535088815623,7 91 2944.8939340452716,7 92 2946.2201561181514,7 93 2947.51491224186,7 94 2948.779305697208,7 95 2950.01438893419,7 96 2951.2211664576903,7 97 2952.400597519354,7 98 2953.553598630582,7 99 2954.6810459103813,
8 0 3760.6080467780594,8 1 3792.753864447088,8 2 3790.698309697001,8 3 3705.149155033064,8 4 3454.857142857143,8 5 2952.7031578947367,8 6 2220.12535382127,8 7 1530.4317180616742,8 8 1239.3611289288006,8 9 1342.2870813397128,8 10 1468.6576325229175,8 11 1483.6734693877552,8 12 1523.8799619475915,8 13 1617.3430793157077,8 14 1733.0024731762649,8 15 1848.7981142118472,8 16 1955.4538369830564,8 17 2050.3271825162433,8 18 2133.553411206444,8 19 2206.2624263922753,8 20 2269.8274273145785,8 21 2325.5703070147447,8 22 2374.6615636461015,8 23 2418.1003767726165,8 24 2456.725590698838,8 25 2491.2366442144003,8 26 2522.215809663178,8 27 2550.148467555992,8 28 2575.4404447496117,8 29 2598.432391069786,8 30 2619.411518520907,8 31 2638.6211184930235,8 32 2656.268258365206,8 33 2672.530007653994,8 34 2687.5584847722002,8 35 2701.484960357872,8 36 2714.423205931161,8 37 2726.472237870584,8 38 2737.718575572663,8 39 2748.2381079701768,8 40 2758.0976431262643,8 41 2767.3562003275347,8 42 2776.0660920824325,8 43 2784.2738339782827,8 44 2792.020912898474,8 45 2799.344438209745,8 46 2806.2776958564828,8 47 2812.850621578951,8 48 2819.090206499939,8 49 2825.0208459399996,8 50 2830.66464040141,8 51 2836.041656108772,8 52 2841.1701512344325,8 53 2846.0667729106053,8 54 2850.7467292907936,8 55 2855.223940234283,8 56 2859.5111696199847,8 57 2863.620141826853,8 58 2867.5616445289384,8 59 2871.34561962933,8 60 2874.9812438867666,8 61 2878.477000562233,8 62 2881.840743222487,8 63 2885.0797526770766,8 64 2888.200787889864,8 65 2891.210131591149,8 66 2894.113631218826,8 67 2896.9167357338074,8 68 2899.6245287838296,8 69 2902.2417586288657,8 70 2904.772865189089,8 71 2907.2220045313015,8 72 2909.593071070964,8 73 2911.8897177333483,8 74 2914.1153742883043,8 75 2916.27326404784,8 76 2918.3664190937693,8 77 2920.3976941835153,8 78 2922.369779465417,8 79 2924.285212120268,8 80 2926.146387032945,8 81 2927.9555665867233,8 82 2929.7148896629437,8 83 2931.4263799199516,8 84 2933.0919534174923,8 85 2934.713425645934,8 86 2936.292518013616,8 87 2937.8308638402696,8 88 2939.3300138996833,8 89 2940.791441550531,8 90 2942.2165474905123,8 91 2943.6066641655702,8 92 2944.963059862947,8 93 2946.2869425141153,8 94 2947.579463231244,8 95 2948.8417195986476,8 96 2950.0747587387427,8 97 2951.279580170288,8 98 2952.4571384750807,8 99 2953.6083457878954,
9 0 3593.9544693672583,9 1 3571.591429167502,9 2 3502.466005125129,9 3 3352.7659574468084,9 4 3083.520940484938,9 5 2677.920108679943,9 6 2191.565022421525,9 7 1769.8492486379691,9 8 1544.2235649546828,9 9 1468.6576325229175,9 10 1371.3494494973672,9 11 1300.758086445126,9 12 1354.1770628399493,9 13 1480.3969042932918,9 14 1623.693941368078,9 15 1759.9280263311691,9 16 1881.6552460448413,9 17 1987.926421527631,9 18 2080.0150280549856,9 19 2159.782619717934,9 20 2229.080778449426,9 21 2289.554772887126,9 22 2342.6014385533663,9 23 2389.383415559329,9 24 2430.860787490366,9 25 2467.8249368122947,9 26 2500.929163922987,9 27 2530.7145775174245,9 28 2557.6313087158574,9 29 2582.055632250975,9 30 2604.303692350896,9 31 2624.6424854014276,9 32 2643.298655220579,9 33 2660.4655545642318,9 34 2676.308934899985,9 35 2690.971550107539,9 36 2704.576898304199,9 37 2717.2322774682953,9 38 2729.031292598768,9 39 2740.055922633087,9 40 2750.3782324130066,9 41 2760.0617971593365,9 42 2769.1628930295583,9 43 2777.731496483944,9 44 2785.8121266827134,9 45 2793.4445584464224,9 46 2800.66442802659,9 47 2807.503749741034,9 48 2813.9913581885166,9 49 2820.15328808552,9 50 2826.0131016215623,9 51 2831.5921714979963,9 52 2836.9099264127985,9 53 2841.984064613331,9 54 2846.8307402079586,9 55 2851.4647261643313,9 56 2855.8995572944746,9 57 2860.147656008653,9 58 2864.220443190726,9 59 2868.128436190825,9 60 2871.8813356336127,9 61 2875.4881024913398,9 62 2878.957026661915,9 63 2882.2957881162156,9 64 2885.5115115303506,9 65 2888.6108151927156,9 66 2891.5998548689095,9 67 2894.484363216597,9 68 2897.269685264786,9 69 2899.960810405538,9 70 2902.5624012891317,9 71 2905.0788199646868,9 72 2907.514151566003,9 73 2909.8722258058583,9 74 2912.156636510438,9 75 2914.3707593981067,9 76 2916.517768282927,9 77 2918.600649862545,9 78 2920.622217231933,9 79 2922.585122248626,9 80 2924.491866861186,9 81 2926.3448135004437,9 82 2928.146194622328,9 83 2929.898121481657,9 84 2931.6025922079066,9 85 2933.261499246641,9 86 2934.8766362237156,9 87 2936.4497042836347,9 88 2937.982317948257,9 89 2939.4760105375176,9 90 2940.932239189743,9 91 2942.3523895155136,9 92 2943.7377799157994,9 93 2945.0896655921692,9 94 2946.409242274322,9 95 2947.6976496878156,9 96 2948.9559747828193,9 97 2950.1852547428116,9 98 2951.386479790471,9 99 2952.5605958064834,
10 0 3437.156648550125,10 1 3379.785448049228,10 2 3277.142857142857,10 3 3110.3803500354393,10 4 2865.655240985923,10 5 2549.818181818182,10 6 2205.6949514260946,10 7 1900.9844311377244,10 8 1673.5675675675675,10 9 1483.6734693877552,10 10 1300.758086445126,10 11 1222,10 12 1285.1710028033247,10 13 1420.1628744410586,10 14 1570.2429906542056,10 15 1711.9162092653,10 16 1838.2442530350386,10 17 1948.547945205479,10 18 2044.2298049304245,10 19 2127.2165010894855,10 20 2199.4001591089896,10 21 2262.458251581694,10 22 2317.8169825908835,10 23 2366.666821023385,10 24 2409.9940799623787,10 25 2448.6144503820387,10 26 2483.2033846948048,10 27 2514.321903809589,10 28 2542.4378551678033,10 29 2567.943161634103,10 30 2591.1677208298825,10 31 2612.390579602545,10 32 2631.848921808733,10 33 2649.7453126815435,10 34 2666.2535564512323,10 35 2681.523450695076,10 36 2695.6846613545367,10 37 2708.849894915865,10 38 2721.1175068652537,10 39 2732.5736562351935,10 40 2743.2940931552166,10 41 2753.345648414423,10 42 2762.7874800253944,10 43 2771.6721207793753,10 44 2780.0463621255217,10 45 2787.9520028705747,10 46 2795.426485776643,10 47 2802.5034408235233,10 48 2809.2131504581503,10 49 2815.5829493920724,10 50 2821.637569284184,10 51 2827.3994368486374,10 52 2832.8889324692864,10 53 2838.124615213978,10 54 2843.1234191706076,10 55 2847.900825229663,10 56 2852.471011781459,10 57 2856.846987253639,10 58 2861.0407069645835,10 59 2865.0631763939114,10 60 2868.9245426588222,10 61 2872.634175723274,10 62 2876.2007406472685,10 63 2879.632261998346,10 64 2882.936181390986,10 65 2886.119408987116,10 66 2889.188369678367,10 67 2892.149044574856,10 68 2895.00700834337,10 69 2897.7674628678365,10 70 2900.4352676447215,10 71 2903.0149672743687,10 72 2905.5108163646355,10 73 2907.9268021246903,10 74 2910.2666648934514,10 75 2912.5339168182136,10 76 2914.731858873821,10 77 2916.8635963908287,10 78 2918.9320532419315,10 79 2920.9399848192124,10 80 2922.8899899200655,10 81 2924.784521646808,10 82 2926.6258974136144,10 83 2928.416308144486,10 84 2930.157826737125,10 85 2931.8524158598266,10 86 2933.5019351415954,10 87 2935.108147809617,10 88 2936.672726822758,10 89 2938.1972605449923,10 90 2939.6832579983047,10 91 2941.132153730846,10 92 2942.545312332678,10 93 2943.924032628371,10 94 2945.2695515730124,10 95 2946.5830478757066,10 96 2947.8656453724666,10 97 2949.1184161684005,10 98 2950.34238356732,10 99 2951.5385248053053,
